province,pendolari/totale,cod
VERCELLI,67.80735107731304,2
ASTI,61.44029170464904,5
MATERA,59.52529668956902,77
SAVONA,58.8774341351661,9
ROVIGO,56.168662155127535,29
MONZA E BRIANZA,53.3500837520938,108
ISERNIA,50.324675324675326,94
GORIZIA,49.862637362637365,31
TREVISO,47.669735327963174,26
MACERATA,46.21537997132292,43
PADOVA,44.51590413943355,28
ENNA,44.12894961571306,86
VARESE,43.70126494541674,12
PESCARA,43.639427127211455,68
CATANZARO,43.015562389339294,79
CAMPOBASSO,42.26480836236934,70
SIRACUSA,42.24899598393574,89
VICENZA,41.01235552012754,24
REGGIO EMILIA,40.648301574150786,35
NOVARA,40.002590002590004,3
L'AQUILA,39.98725302740599,66
VERONA,39.62415033986406,23
CREMONA,39.5610278372591,19
BENEVENTO,39.034852546916895,62
RAVENNA,38.31806282722513,39
PISA,37.958848531684694,50
VENEZIA,37.381985200306204,27
ASCOLI PICENO,37.31182795698925,44
BERGAMO,35.63724745556737,16
VITERBO,35.144312393887944,56
COMO,34.91864831038799,13
FIRENZE,34.798970479273095,48
SALERNO,34.61200230463656,65
LECCO,32.656514382402705,97
PAVIA,32.39547725479884,18
CATANIA,32.23792862141357,87
BARI,31.857350055456017,72
ALESSANDRIA,31.33687136719737,6
FROSINONE,31.29911591355599,60
UDINE,30.527450655166692,30
TRENTO,30.517337981697068,22
PALERMO,30.262043541075073,82
CASERTA,28.923114237205915,61
PARMA,28.864439505992934,34
TERAMO,28.45581802274716,67
SIENA,28.327507394460877,52
MODENA,28.312077043206664,36
CAGLIARI,28.102995708512147,92
CHIETI,27.855072463768117,69
LECCE,27.56852148017427,75
FERRARA,26.70006570302234,38
AREZZO,26.1038961038961,51
CUNEO,26.056879323597233,4
LA SPEZIA,25.981308411214954,11
PESARO E URBINO,25.89503953989935,41
PIACENZA,25.801324503311257,33
MILANO,25.439877599276723,15
NAPOLI,23.94848903664413,63
POTENZA,23.182207014542342,76
RIMINI,22.75058275058275,99
COSENZA,22.56797583081571,78
ANCONA,22.373828702942628,42
FOGGIA,22.073841319717204,71
TERNI,22.013218098627352,55
FORLI'-CESENA,21.958863858961802,40
TARANTO,20.671098448876226,73
GENOVA,20.43865459630529,10
BRESCIA,19.858308286818378,17
SASSARI,18.26352382567407,90
PERUGIA,17.67955801104972,54
TORINO,17.39122275290651,1
BOLZANO,17.01372456223379,21
LATINA,17.00028192839019,59
BOLOGNA,13.602298276292778,37
MESSINA,12.637412555646407,83
ROMA,12.391595647746154,58
TRIESTE,10.426196180933712,32
REGGIO CALABRIA,8.57703631010795,80
