Unis,fuorisede/totale,real_fuorisede/totale,province limitrofe
Bra Scienze Gastronomiche,87.70491803278688,55.32786885245902,32.37704918032786
Milano Bocconi,84.33617721897919,75.16838796587338,9.16778925310581
Venezia Iuav,83.10776942355889,47.01754385964912,36.09022556390977
Siena Stranieri,81.85816382627817,48.32325453545904,33.53490929081913
Ferrara,80.0645649834602,53.01103981507313,27.05352516838707
Enna KORE,77.0520357065099,33.05029392553887,44.00174178097103
Pisa,76.94823663253698,39.381873340917714,37.56636329161926
Chieti e Pescara,76.12082974859,42.89264888633974,33.228180862250255
Bologna,75.37043175094219,59.34150922549995,16.02892252544224
Milano Politecnico,75.0366347728644,51.80372381691234,23.232910955952065
Milano San Raffaele,74.9066896353718,59.80476600631639,15.101923629055413
Piemonte Orientale,73.33730542935875,32.52401876815372,40.813286661205034
Castellanza LIUC,73.30003841721091,28.31348444102958,44.986553976181334
Ca' Foscari Venezia,73.10809441799209,35.27504812075777,37.83304629723432
Trieste,72.56736280387376,58.11318268660649,14.45418011726727
Padova,71.26688797961862,26.322859569211765,44.94402841040685
Macerata,70.62324172257087,20.51504003462454,50.10820168794633
Pavia,70.36510806854388,37.87996211142685,32.48514595711703
Camerino,70.11864065956163,31.248743213352103,38.869897446209535
Milano IULM,69.72647859086352,47.601317485321495,22.125161105542027
Siena,69.61704459820511,42.17304925669658,27.443995341508533
Parma,69.45053365436446,40.7697559923815,28.680777661982965
Roma Saint Camillus,69.05801621958827,65.25265127885214,3.8053649407361263
Urbino,66.3593795727246,40.34972197834358,26.009657594381025
Trento,63.55921223114797,32.398289712360715,31.160922518787252
Torino Politecnico,63.52276823260844,51.07833713805119,12.444431094557252
Milano Bicocca,62.51205470644964,27.39706011280283,35.11499459364681
L'Aquila,61.867454405342926,21.7056254816337,40.16182892370922
Modena e Reggio Emilia,61.83776479472199,28.782639799689996,33.055124995031996
Marche,61.8358177020184,38.94158761857214,22.89423008344626
Rozzano (MI) Humanitas University,61.40613313388182,48.541510845175765,12.864622288706059
Teramo,60.17057569296376,32.004264392324096,28.166311300639663
Milano Cattolica,59.79740660544065,38.502700415640014,21.294706189800635
Milano,59.79315990844235,30.741984528762135,29.051175379680213
Firenze,59.51471927750538,24.50435085951278,35.010368417992595
Molise,57.82323797346971,13.82451654147355,43.99872143199616
Roma LUISS,56.68685209894283,50.374627938006775,6.312224160936054
Cagliari,56.64428417474924,28.54596700654895,28.09831716820029
Udine,52.83427087840762,19.053800663493437,33.78047021491419
Tuscia,52.35973827091745,17.33259083948211,35.02714743143534
Catanzaro,51.299972043611966,8.284409654272668,43.015562389339294
Cassino,50.498051104374184,17.46787931283384,33.03017179154034
Verona,49.49338524844033,11.804787398787663,37.688597849652666
Roma UNINT,48.057259713701434,36.33265167007498,11.724608043626453
Insubria,46.91105982602521,5.299130126042961,41.61192969998225
Roma Biomedico,46.34806131650136,39.13435527502254,7.213706041478815
Messina,46.121749824314826,32.962930428671825,13.158819395643
Napoli L'Orientale,45.451173142910136,13.67893907075953,31.772234072150606
Calabria,45.09710832973673,22.52913249892102,22.56797583081571
Bolzano,44.97542326597488,26.40633533588203,18.569087930092852
Perugia,43.84594770491176,25.500555108916195,18.345392595995563
Perugia Stranieri,43.3252427184466,36.407766990291265,6.917475728155338
Sannio,43.029490616621985,3.9946380697050943,39.03485254691689
Bergamo,42.6526667711435,6.498458966724129,36.15420780441937
Torino,42.55733166170402,22.20263281617301,20.354698845531008
Bari Politecnico,42.22404595814526,10.791957324579402,31.43208863356586
Salerno,40.77949651198059,6.160145586897179,34.61935092508341
Bari,40.04464173751662,8.812981215358764,31.231660522157856
Roma LUMSA,39.98298596341982,24.585282858358145,15.397703105061677
Genova,37.78949102289573,14.949761159611267,22.839729863284465
Catania,36.62444313241372,3.357307712951532,33.267135419462186
Napoli Vanvitelli,36.60987128437818,8.435966293175294,28.173904991202885
Basilicata,34.85543018335684,2.48589562764457,32.36953455571227
Roma La Sapienza,33.867376207729464,19.83318236714976,14.034193840579704
Palermo,33.141371434125475,2.556252126160276,30.585119307965197
Aosta,32.89630512514899,10.011918951132301,22.88438617401669
Roma Tor Vergata,32.47812325451499,18.931297709923665,13.546825544591325
Salento,31.930219471018574,3.8604389420371414,28.069780528981433
Foggia,30.83179607580077,8.552741908435351,22.27905416736542
Napoli Benincasa,30.69447736430434,1.7895235837876273,28.904953780516713
Roma Link Campus,29.245283018867923,22.32704402515723,6.918238993710691
Roma Europea,28.428650749583568,20.433092726263187,7.995558023320381
Napoli Federico II,28.126978011393344,4.361945124803919,23.765032886589424
Casamassima - G.Degennaro,27.890267798824297,4.768125408229915,23.122142390594384
Sassari,26.989142764543832,8.053800032409658,18.935342732134174
Roma Foro Italico,26.91561590688652,15.13094083414161,11.784675072744909
Brescia,23.46067108590173,2.7608829358299736,20.699788150071758
Roma Tre,23.178525777588412,12.084166366228573,11.09435941135984
Reggio Calabria,19.535283993115318,10.133390705679862,9.401893287435456
Napoli Parthenope,17.294128423559584,2.4915269762755337,14.80260144728405
Reggio Calabria - Dante Alighieri,15.659955257270694,15.659955257270694,0.0
