uni,medie,top,ind,cat
"Novedrate (CO) - Università telematica ""e-Campus""",53.99851218151386,60.0,0.899975203025231,Da iscritte a professoresse ordinarie
Venezia - Università IUAV,58.04669399394048,41.81818181818181,1.388073117246403,Da iscritte a professoresse ordinarie
Perugia - Università per stranieri,65.24714828897339,46.15384615384615,1.4136882129277566,Da iscritte a professoresse ordinarie
Aosta - Università degli studi,70.6855791962175,50.0,1.41371158392435,Da iscritte a professoresse ordinarie
Milano - Politecnico,34.69072887933049,23.809523809523807,1.457010612931881,Da iscritte a professoresse ordinarie
"Napoli - Università telematica ""Pegaso""",49.58012443980333,33.33333333333333,1.4874037331941,Da iscritte a professoresse ordinarie
Siena - Università per stranieri,82.90965975752836,55.55555555555556,1.4923738756355103,Da iscritte a professoresse ordinarie
Roma - Università Europea,73.4412955465587,46.15384615384615,1.5912280701754384,Da iscritte a professoresse ordinarie
"Casamassima - Libera Università Mediterranea ""Jean Monnet""",31.03448275862069,19.230769230769234,1.6137931034482758,Da iscritte a professoresse ordinarie
Messina - Università degli studi,61.86836518046709,37.54385964912281,1.6478957080778618,Da iscritte a professoresse ordinarie
"Napoli - Università degli studi ""Parthenope""",42.07913771096298,25.49019607843137,1.650796940968548,Da iscritte a professoresse ordinarie
Torino - Politecnico,29.982523283852842,17.880794701986755,1.6768003762451034,Da iscritte a professoresse ordinarie
Bergamo - Università degli studi,62.54365655535062,36.93693693693694,1.693255092108273,Da iscritte a professoresse ordinarie
"Napoli - Università degli studi ""L' Orientale""",79.64951528709918,46.96969696969697,1.6957638738543697,Da iscritte a professoresse ordinarie
Roma - Libera Università Maria SS.Assunta (LUMSA),70.98390363500693,41.30434782608695,1.7185576669527993,Da iscritte a professoresse ordinarie
Milano-Bicocca - Università degli studi,61.2585493260143,35.31598513011153,1.7345841861787206,Da iscritte a professoresse ordinarie
Roma - Link Campus University,29.554140127388536,16.666666666666664,1.7732484076433122,Da iscritte a professoresse ordinarie
